,MONTH,YEAR,CATEGORY,COUNT,Count YTD,LOCATION
168,January,2022,Major Property Crime,3205,3205,Memphis
169,January,2022,Major Violent Crime,781,781,Memphis
170,February,2022,Major Property Crime,2680,5885,Memphis
171,February,2022,Major Violent Crime,641,1422,Memphis
172,March,2022,Major Property Crime,2771,8656,Memphis
173,March,2022,Major Violent Crime,767,2189,Memphis
174,April,2022,Major Property Crime,3064,11720,Memphis
175,April,2022,Major Violent Crime,869,3058,Memphis
176,May,2022,Major Property Crime,3736,15456,Memphis
177,May,2022,Major Violent Crime,983,4041,Memphis
178,June,2022,Major Property Crime,3892,19348,Memphis
179,June,2022,Major Violent Crime,891,4932,Memphis
180,July,2022,Major Property Crime,4243,23591,Memphis
181,July,2022,Major Violent Crime,851,5783,Memphis
182,August,2022,Major Property Crime,4144,27735,Memphis
183,August,2022,Major Violent Crime,837,6620,Memphis
184,September,2022,Major Property Crime,4045,31780,Memphis
185,September,2022,Major Violent Crime,801,7421,Memphis
