MONTHYEAR,MONTH,YEAR,CATEGORY,COUNT,Month_YOY_Percent_Change,Count YTD,YTD_Percent_Change,MonthOrder
January 2006,January,2006,Major Property Crime,4603,,4603,,1
January 2006,January,2006,Major Violent Crime,992,,992,,1
February 2006,February,2006,Major Property Crime,3552,,8155,,2
February 2006,February,2006,Major Violent Crime,716,,1708,,2
March 2006,March,2006,Major Property Crime,4465,,12620,,3
March 2006,March,2006,Major Violent Crime,912,,2620,,3
April 2006,April,2006,Major Property Crime,4697,,17317,,4
April 2006,April,2006,Major Violent Crime,1028,,3648,,4
May 2006,May,2006,Major Property Crime,5195,,22512,,5
May 2006,May,2006,Major Violent Crime,1066,,4714,,5
June 2006,June,2006,Major Property Crime,4697,,27209,,6
June 2006,June,2006,Major Violent Crime,1085,,5799,,6
July 2006,July,2006,Major Property Crime,5276,,32485,,7
July 2006,July,2006,Major Violent Crime,1139,,6938,,7
August 2006,August,2006,Major Property Crime,5450,,37935,,8
August 2006,August,2006,Major Violent Crime,1099,,8037,,8
September 2006,September,2006,Major Property Crime,5082,,43017,,9
September 2006,September,2006,Major Violent Crime,1037,,9074,,9
October 2006,October,2006,Major Property Crime,4851,,47868,,10
October 2006,October,2006,Major Violent Crime,928,,10002,,10
November 2006,November,2006,Major Property Crime,4509,,52377,,11
November 2006,November,2006,Major Violent Crime,863,,10865,,11
December 2006,December,2006,Major Property Crime,4469,,56846,,12
December 2006,December,2006,Major Violent Crime,833,,11698,,12
January 2016,January,2016,Major Property Crime,2835,,2825,,1
January 2016,January,2016,Major Violent Crime,771,,768,,1
February 2016,February,2016,Major Property Crime,2291,,5115,,2
February 2016,February,2016,Major Violent Crime,617,,1382,,2
March 2016,March,2016,Major Property Crime,2585,,7692,,3
March 2016,March,2016,Major Violent Crime,687,,2068,,3
April 2016,April,2016,Major Property Crime,2925,,10615,,4
April 2016,April,2016,Major Violent Crime,692,,2758,,4
May 2016,May,2016,Major Property Crime,3332,,13941,,5
May 2016,May,2016,Major Violent Crime,815,,3570,,5
June 2016,June,2016,Major Property Crime,3066,,17003,,6
June 2016,June,2016,Major Violent Crime,781,,4348,,6
July 2016,July,2016,Major Property Crime,3354,,20357,,7
July 2016,July,2016,Major Violent Crime,766,,5112,,7
August 2016,August,2016,Major Property Crime,3704,,24056,,8
August 2016,August,2016,Major Violent Crime,904,,6009,,8
September 2016,September,2016,Major Property Crime,3323,,27375,,9
September 2016,September,2016,Major Violent Crime,792,,6794,,9
October 2016,October,2016,Major Property Crime,3369,,30740,,10
October 2016,October,2016,Major Violent Crime,845,,7634,,10
November 2016,November,2016,Major Property Crime,3242,,33978,,11
November 2016,November,2016,Major Violent Crime,706,,8335,,11
December 2016,December,2016,Major Property Crime,3205,,37177,,12
December 2016,December,2016,Major Violent Crime,746,,9081,,12
January 2017,January,2017,Major Property Crime,3308,16.68,3308,17.1,1
January 2017,January,2017,Major Violent Crime,844,9.47,844,9.9,1
February 2017,February,2017,Major Property Crime,2705,18.07,6013,17.56,2
February 2017,February,2017,Major Violent Crime,593,-3.89,1437,3.98,2
March 2017,March,2017,Major Property Crime,3036,17.45,9049,17.64,3
March 2017,March,2017,Major Violent Crime,726,5.68,2163,4.59,3
April 2017,April,2017,Major Property Crime,3216,9.95,12265,15.54,4
April 2017,April,2017,Major Violent Crime,804,16.18,2967,7.58,4
May 2017,May,2017,Major Property Crime,3465,3.99,15730,12.83,5
May 2017,May,2017,Major Violent Crime,962,18.04,3929,10.06,5
June 2017,June,2017,Major Property Crime,3370,9.92,19100,12.33,6
June 2017,June,2017,Major Violent Crime,928,18.82,4857,11.71,6
July 2017,July,2017,Major Property Crime,3696,10.2,22796,11.98,7
July 2017,July,2017,Major Violent Crime,916,19.58,5773,12.93,7
August 2017,August,2017,Major Property Crime,3833,3.48,26576,10.48,8
August 2017,August,2017,Major Violent Crime,905,0.11,6678,11.13,8
September 2017,September,2017,Major Property Crime,3783,13.84,30359,10.9,9
September 2017,September,2017,Major Violent Crime,834,5.3,7512,10.57,9
