MONTH,CATEGORY,COUNT
April,Major Property Crime,2078
April,Major Violent Crime,1454
April,OTHER,2257
August,Major Property Crime,2348
August,Major Violent Crime,1648
August,OTHER,2377
February,Major Property Crime,1887
February,Major Violent Crime,1239
February,OTHER,1988
January,Major Property Crime,2034
January,Major Violent Crime,1323
January,OTHER,2205
July,Major Property Crime,2402
July,Major Violent Crime,1633
July,OTHER,2383
June,Major Property Crime,2186
June,Major Violent Crime,1569
June,OTHER,2197
March,Major Property Crime,2136
March,Major Violent Crime,1460
March,OTHER,2433
May,Major Property Crime,2274
May,Major Violent Crime,1658
May,OTHER,2319
October,Major Property Crime,1195
October,Major Violent Crime,769
October,OTHER,1065
September,Major Property Crime,2052
September,Major Violent Crime,1600
September,OTHER,2159
